,x,y,z,canvas,oil,acrylic,board,paper,lacquer,masonite,panel,ink,wood
478,Oil / Board,oil  board,oil  board,0,1,0,1,0,0,0,0,0,0
479,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
480,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
481,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
482,Oil on wood panel,oil on wood panel,oil wood panel,0,1,0,0,0,0,0,1,0,1
483,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
484,Oil / Masonite,oil  masonite,oil  masonite,0,1,0,0,0,0,1,0,0,0
485,Oil / Masonite,oil  masonite,oil  masonite,0,1,0,0,0,0,1,0,0,0
486,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
487,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
488,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
489,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
490,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
491,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
492,Oil on canvas laid on masonite board,oil on canvas laid on masonite board,oil canvas laid masonite board,1,1,0,1,0,0,1,0,0,0
493,Oil / Canvas on board,oil  canvas on board,oil  canvas board,1,1,0,1,0,0,0,0,0,0
494,Oil / Canvas on board,oil  canvas on board,oil  canvas board,1,1,0,1,0,0,0,0,0,0
495,Oil / Board,oil  board,oil  board,0,1,0,1,0,0,0,0,0,0
496,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
497,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
498,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
499,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
500,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
501,Oil / Masonite,oil  masonite,oil  masonite,0,1,0,0,0,0,1,0,0,0
502,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
503,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
504,Oil on wooden board,oil on wooden board,oil wooden board,0,1,0,1,0,0,0,0,0,1
505,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
506,Oil on jute,oil on jute,oil jute,0,1,0,0,0,0,0,0,0,0
507,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
508,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
509,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
510,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
511,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
512,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
513,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
514,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
515,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
516,Oil / Board,oil  board,oil  board,0,1,0,1,0,0,0,0,0,0
517,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
518,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
519,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
520,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
521,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
522,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
523,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
524,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
525,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
526,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
527,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
528,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
529,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
530,Oil / Masonite,oil  masonite,oil  masonite,0,1,0,0,0,0,1,0,0,0
531,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
532,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
533,"Oilacrylic, enamel, and spray paint / Canvas",oilacrylic enamel and spray paint  canvas,oilacrylic enamel  spray paint  canvas,1,1,1,0,0,0,0,0,0,0
534,Oil and spray paint / Canvas,oil and spray paint  canvas,oil  spray paint  canvas,1,1,0,0,0,0,0,0,0,0
535,Acrylic and gouache / Canvas,acrylic and gouache  canvas,acrylic  gouache  canvas,1,0,1,0,0,0,0,0,0,0
536,Spraypaint / Cardboard,spraypaint  cardboard,spraypaint  cardboard,0,0,0,1,0,0,0,0,0,0
537,"Stencilled spray paint, emulsion on ply board",stencilled spray paint emulsion on ply board,stencilled spray paint emulsion ply board,0,0,0,1,0,0,0,0,0,0
538,Spray paint / Canvas,spray paint  canvas,spray paint  canvas,1,0,0,0,0,0,0,0,0,0
539,Acrylic and spray paint and pen / Paperboard,acrylic and spray paint and pen  paperboard,acrylic  spray paint  pen  paperboard,0,0,1,1,1,0,0,0,0,0
540,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
541,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
542,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
543,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
544,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
545,Acrylic on paper on aluminum panel,acrylic on paper on aluminum panel,acrylic paper aluminum panel,0,0,1,0,1,0,0,1,0,0
546,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
547,Enamel / Paperboard,enamel  paperboard,enamel  paperboard,0,0,0,1,1,0,0,0,0,0
548,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
549,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
550,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
551,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
552,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
553,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
554,Acrylic and oil / Canvas,acrylic and oil  canvas,acrylic  oil  canvas,1,1,1,0,0,0,0,0,0,0
555,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
556,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
557,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
558,Acrylicemulsion and inkjet ink / Cardboard,acrylicemulsion and inkjet ink  cardboard,acrylicemulsion  inkjet ink  cardboard,0,0,1,1,0,0,0,0,1,0
559,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
560,Oil / Panel,oil  panel,oil  panel,0,1,0,0,0,0,0,1,0,0
561,Synthetic polymer paint / Canvas,synthetic polymer paint  canvas,synthetic polymer paint  canvas,1,0,0,0,0,0,0,0,0,0
562,Oil on canvas / Panel,oil on canvas  panel,oil canvas  panel,1,1,0,0,0,0,0,1,0,0
563,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
564,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
565,Oil / Board,oil  board,oil  board,0,1,0,1,0,0,0,0,0,0
566,Lacquer on paper laid on folding screen (4 panels),lacquer on paper laid on folding screen 4 panels,lacquer paper laid folding screen 4 panels,0,0,0,0,1,1,0,1,0,0
567,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
568,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
569,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
570,Oil / Board,oil  board,oil  board,0,1,0,1,0,0,0,0,0,0
571,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
572,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
573,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
574,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
575,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
576,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
577,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
578,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
579,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
580,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
581,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
582,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
583,Oil / Panel,oil  panel,oil  panel,0,1,0,0,0,0,0,1,0,0
584,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
585,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
586,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
587,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
588,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
589,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
590,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
591,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
592,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
593,Gouache and enamel / Paperboard,gouache and enamel  paperboard,gouache  enamel  paperboard,0,0,0,1,1,0,0,0,0,0
594,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
595,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
596,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
597,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
598,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
599,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
600,Oil / Cloth,oil  cloth,oil  cloth,0,1,0,0,0,0,0,0,0,0
601,Oil on hemp cloth,oil on hemp cloth,oil hemp cloth,0,1,0,0,0,0,0,0,0,0
602,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
603,Oil / Paper,oil  paper,oil  paper,0,1,0,0,1,0,0,0,0,0
604,Oil / Board,oil  board,oil  board,0,1,0,1,0,0,0,0,0,0
605,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
606,Oil / Board,oil  board,oil  board,0,1,0,1,0,0,0,0,0,0
607,Oil / Board,oil  board,oil  board,0,1,0,1,0,0,0,0,0,0
608,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
609,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
610,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
611,"Aluminum flake pigment in PVA glue medium, lacquer on paper laid on folding screen",aluminum flake pigment in pva glue medium lacquer on paper laid on folding screen,aluminum flake pigment in pva glue medium lacquer paper laid folding screen,0,0,0,0,1,1,0,0,0,0
612,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
613,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
614,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
615,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
616,Pencil and oil / Canvas,pencil and oil  canvas,pencil  oil  canvas,1,1,0,0,0,0,0,0,0,0
617,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
